status,renewal,reinstate,old_user_id,first,last,description,category_id, premium,business_type_id,source_type_id,lenght_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
2,0,0,0,Leeanne,Kuo,Leeanne's Auto / Auto DSS, 3,500.00, 1, 3, 1,Policy Number  3,AUT-10003,92003,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Bobby,Pewitt,Bobby's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  8,AUT-10008,92008,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,Mozella,Schlichting,Mozella's Auto / Commercial, 5,500.00, 1, 3, 1,Policy Number  13,AUT-10013,92013,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,Brande,Proto,Brande's Auto / ATV/Snow, 2,500.00, 1, 3, 1,Policy Number  18,AUT-10017,92018,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,Shondra,Roache,Shondra's Auto / Motor Home, 7,500.00, 1, 3, 1,Policy Number  23,AUT-10022,92023,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Julian,Buice,Julian's Auto / Auto Short, 4,500.00, 1, 3, 1,Policy Number  28,AUT-10027,92028,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Lanette,Jarboe,Lanette's Auto / Auto, 1,500.00, 1, 1, 1,Policy Number  33,AUT-10031,92033,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Kylie,Baugher,Kylie's Auto / Motorcycle, 6,500.00, 1, 3, 1,Policy Number  38,AUT-10036,92038,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Terra,Baltimore,Terra's Auto / Auto DSS, 3,500.00, 1, 3, 1,Policy Number  43,AUT-10041,92043,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Verlene,Lorenz,Verlene's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  48,AUT-10045,92048,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Kyung,Dew,Kyung's Health / Health, 40,10000.00, 1, 3, 3,Policy Number  53,HLT-10001,92053,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
2,0,0,0,Karma,Ulibarri,Karma's Auto / ATV/Snow, 2,500.00, 1, 3, 1,Policy Number  58,AUT-10053,92058,2015:01:09 12:00:00,2015:01:19 12:00:00,2015:01:19 12:00:00,
2,0,0,0,Katelynn,Coale,Katelynn's Auto / Motor Home, 7,500.00, 1, 3, 1,Policy Number  63,AUT-10057,92063,2015:01:09 12:00:00,2015:01:19 12:00:00,2015:01:19 12:00:00,
2,0,0,0,Maryanne,Cardiel,Maryanne's Auto / Auto Short, 4,500.00, 1, 3, 1,Policy Number  68,AUT-10062,92068,2015:01:10 12:00:00,2015:01:20 12:00:00,2015:01:20 12:00:00,
