status,renewal,reinstate,old_user_id,first,last,description,category_id,premium,business_type_id,source_type_id,length_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
1,0,0,0,Tarik,Black,Mutual Fund - Roth IRA,77,1500,2,9,1,,,,1/11/16 0:00,NULL,NULL,NULL
1,0,0,0,Jeff,Smith,Jeep,1,699,1,8,1,,1900000,80126,10/18/16 0:00,NULL,10/18/16 0:00,NULL
1,0,0,0,Kobe,Bryant,mercedes cld,1,600,1,2,2,,,92618,8/2/16 0:00,NULL,NULL,NULL
1,0,0,0,Luk,Walton,jeep,1,550,1,8,1,,,90210,10/28/16 0:00,NULL,NULL,NULL
1,0,0,0,Magic,johnson,benz,1,7028,1,5,1,,,90211,10/28/16 0:00,NULL,NULL,NULL
1,0,0,0,Shaq,Oneal,Range Rover,11,689,1,3,1,,,90210,7/11/16 0:00,NULL,NULL,NULL
1,0,0,0,DAngelo,Russel,,44,253,1,6,1,test,,90215,7/20/16 0:00,NULL,NULL,NULL
1,0,0,0,Brandon,Ingram,Tesla,1,553,1,3,1,,,90210,9/14/16 0:00,NULL,NULL,NULL
1,0,0,0,Jordan,Clarkson,Baller Beemer,1,658,1,8,1,,,93306,7/8/16 0:00,NULL,NULL,NULL
1,0,0,0,Phil,Jackson,,29,900,1,5,2,,,90210,8/17/16 0:00,NULL,NULL,NULL
1,0,0,0,Mitch,Kupchek,bako home,9,556,1,2,2,,,93306,9/1/16 0:00,NULL,NULL,NULL
1,0,0,0,Derek,Fisher,Beach house,18,1181,1,5,2,,,90210,8/9/16 0:00,NULL,NULL,NULL
1,0,0,0,Julius,Randel,,45,256,1,1,2,,,93306,6/17/16 0:00,NULL,NULL,NULL
1,0,0,0,Larry,Nance,,45,1856,1,6,2,,,90210,5/11/16 0:00,NULL,NULL,NULL
1,0,0,0,Tarik,Black,Auto new call in semiannual,1,500,1,3,1,,,,1/1/16 0:00,NULL,NULL,NULL
1,0,0,0,Tarik,Black,fire new,9,1000,1,8,2,,,,1/1/16 0:00,NULL,NULL,NULL
1,0,0,0,Tarik,Black,Life added,26,500,2,5,2,,,,1/1/16 0:00,NULL,NULL,NULL
1,0,0,0,Tarik,Black,health - assurant,41,600,1,1,1,,,,1/1/16 0:00,NULL,NULL,NULL
2,0,0,0,Jane,Doe,1234 Anywhere Street,9,1809,2,2,2,New home for current client,1.23E+11,92649,9/27/16 0:00,9/27/16 0:00,9/30/16 0:00,NULL
2,0,0,0,a,a,a,1,100,2,3,1,,12,,5/11/17 0:00,5/28/17 0:00,5/23/17 0:00,NULL
